zone_id,zone_name,lat,lon,Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
0,T_Nagar,13.0418,80.2341,12:00:00 AM,10,Tuesday,42,0,5,5,52,low
0,T_Nagar,13.0418,80.2341,12:15:00 AM,10,Tuesday,68,0,4,3,75,normal
0,T_Nagar,13.0418,80.2341,12:30:00 AM,10,Tuesday,58,0,4,8,70,normal
0,T_Nagar,13.0418,80.2341,12:45:00 AM,10,Tuesday,57,0,3,7,67,normal
0,T_Nagar,13.0418,80.2341,1:00:00 AM,10,Tuesday,68,8,21,18,115,normal
0,T_Nagar,13.0418,80.2341,1:15:00 AM,10,Tuesday,62,0,6,5,73,normal
0,T_Nagar,13.0418,80.2341,1:30:00 AM,10,Tuesday,55,0,1,5,61,normal
0,T_Nagar,13.0418,80.2341,1:45:00 AM,10,Tuesday,60,5,6,7,78,normal
0,T_Nagar,13.0418,80.2341,2:00:00 AM,10,Tuesday,67,0,11,9,87,normal
0,T_Nagar,13.0418,80.2341,2:15:00 AM,10,Tuesday,49,0,6,9,64,normal
0,T_Nagar,13.0418,80.2341,2:30:00 AM,10,Tuesday,62,0,1,1,64,normal
0,T_Nagar,13.0418,80.2341,2:45:00 AM,10,Tuesday,51,0,1,4,56,low
0,T_Nagar,13.0418,80.2341,3:00:00 AM,10,Tuesday,68,0,4,0,72,normal
0,T_Nagar,13.0418,80.2341,3:15:00 AM,10,Tuesday,41,0,5,5,51,low
0,T_Nagar,13.0418,80.2341,3:30:00 AM,10,Tuesday,151,31,49,1,232,heavy
0,T_Nagar,13.0418,80.2341,3:45:00 AM,10,Tuesday,215,22,65,0,302,heavy
0,T_Nagar,13.0418,80.2341,4:00:00 AM,10,Tuesday,159,39,24,3,225,heavy
0,T_Nagar,13.0418,80.2341,4:15:00 AM,10,Tuesday,82,13,12,24,131,high
0,T_Nagar,13.0418,80.2341,4:30:00 AM,10,Tuesday,94,29,10,20,153,high
0,T_Nagar,13.0418,80.2341,4:45:00 AM,10,Tuesday,137,35,8,19,199,heavy
0,T_Nagar,13.0418,80.2341,5:00:00 AM,10,Tuesday,124,24,11,10,169,high
0,T_Nagar,13.0418,80.2341,5:15:00 AM,10,Tuesday,84,35,7,13,139,high
0,T_Nagar,13.0418,80.2341,5:30:00 AM,10,Tuesday,64,13,2,19,98,normal
0,T_Nagar,13.0418,80.2341,5:45:00 AM,10,Tuesday,81,17,3,14,115,normal
0,T_Nagar,13.0418,80.2341,6:00:00 AM,10,Tuesday,193,29,62,1,285,heavy
0,T_Nagar,13.0418,80.2341,6:15:00 AM,10,Tuesday,160,22,67,0,249,heavy
0,T_Nagar,13.0418,80.2341,6:30:00 AM,10,Tuesday,134,38,23,4,199,heavy
0,T_Nagar,13.0418,80.2341,6:45:00 AM,10,Tuesday,154,40,67,4,265,heavy
0,T_Nagar,13.0418,80.2341,7:00:00 AM,10,Tuesday,133,46,69,1,249,heavy
0,T_Nagar,13.0418,80.2341,7:15:00 AM,10,Tuesday,177,31,36,0,244,heavy
0,T_Nagar,13.0418,80.2341,7:30:00 AM,10,Tuesday,160,49,30,7,246,heavy
0,T_Nagar,13.0418,80.2341,7:45:00 AM,10,Tuesday,119,22,24,1,166,high
0,T_Nagar,13.0418,80.2341,8:00:00 AM,10,Tuesday,177,40,40,1,258,heavy
0,T_Nagar,13.0418,80.2341,8:15:00 AM,10,Tuesday,165,57,34,4,260,heavy
0,T_Nagar,13.0418,80.2341,8:30:00 AM,10,Tuesday,170,50,35,1,256,heavy
0,T_Nagar,13.0418,80.2341,8:45:00 AM,10,Tuesday,138,13,59,3,213,heavy
0,T_Nagar,13.0418,80.2341,9:00:00 AM,10,Tuesday,157,29,29,0,215,heavy
0,T_Nagar,13.0418,80.2341,9:15:00 AM,10,Tuesday,91,20,58,39,208,heavy
0,T_Nagar,13.0418,80.2341,9:30:00 AM,10,Tuesday,19,30,35,25,109,normal
0,T_Nagar,13.0418,80.2341,9:45:00 AM,10,Tuesday,40,29,45,25,139,high
0,T_Nagar,13.0418,80.2341,10:00:00 AM,10,Tuesday,77,18,35,35,165,high
0,T_Nagar,13.0418,80.2341,10:15:00 AM,10,Tuesday,39,18,43,41,141,high
0,T_Nagar,13.0418,80.2341,10:30:00 AM,10,Tuesday,90,8,16,20,134,high
0,T_Nagar,13.0418,80.2341,10:45:00 AM,10,Tuesday,53,32,28,20,133,high
0,T_Nagar,13.0418,80.2341,11:00:00 AM,10,Tuesday,38,13,4,37,92,normal
0,T_Nagar,13.0418,80.2341,11:15:00 AM,10,Tuesday,81,11,21,33,146,high
0,T_Nagar,13.0418,80.2341,11:30:00 AM,10,Tuesday,82,9,16,31,138,high
0,T_Nagar,13.0418,80.2341,11:45:00 AM,10,Tuesday,55,12,8,35,110,normal
0,T_Nagar,13.0418,80.2341,12:00:00 PM,10,Tuesday,46,15,6,36,103,normal
0,T_Nagar,13.0418,80.2341,12:15:00 PM,10,Tuesday,75,9,18,42,144,high
0,T_Nagar,13.0418,80.2341,12:30:00 PM,10,Tuesday,30,9,6,23,68,normal
0,T_Nagar,13.0418,80.2341,12:45:00 PM,10,Tuesday,31,11,18,26,86,normal
0,T_Nagar,13.0418,80.2341,1:00:00 PM,10,Tuesday,65,15,16,30,126,normal
0,T_Nagar,13.0418,80.2341,1:15:00 PM,10,Tuesday,101,19,53,27,200,heavy
0,T_Nagar,13.0418,80.2341,1:30:00 PM,10,Tuesday,111,33,26,22,192,heavy
0,T_Nagar,13.0418,80.2341,1:45:00 PM,10,Tuesday,87,25,46,22,180,heavy
0,T_Nagar,13.0418,80.2341,2:00:00 PM,10,Tuesday,99,35,40,27,201,heavy
0,T_Nagar,13.0418,80.2341,2:15:00 PM,10,Tuesday,28,16,36,15,95,normal
0,T_Nagar,13.0418,80.2341,2:30:00 PM,10,Tuesday,147,23,28,23,221,heavy
0,T_Nagar,13.0418,80.2341,2:45:00 PM,10,Tuesday,42,31,7,8,88,normal
0,T_Nagar,13.0418,80.2341,3:00:00 PM,10,Tuesday,55,35,14,29,133,high
0,T_Nagar,13.0418,80.2341,3:15:00 PM,10,Tuesday,81,39,11,19,150,high
0,T_Nagar,13.0418,80.2341,3:30:00 PM,10,Tuesday,148,20,10,25,203,heavy
0,T_Nagar,13.0418,80.2341,3:45:00 PM,10,Tuesday,114,33,12,21,180,heavy
0,T_Nagar,13.0418,80.2341,4:00:00 PM,10,Tuesday,160,37,44,9,250,heavy
0,T_Nagar,13.0418,80.2341,4:15:00 PM,10,Tuesday,174,36,35,6,251,heavy
0,T_Nagar,13.0418,80.2341,4:30:00 PM,10,Tuesday,196,32,59,7,294,heavy
0,T_Nagar,13.0418,80.2341,4:45:00 PM,10,Tuesday,169,12,43,9,233,heavy
0,T_Nagar,13.0418,80.2341,5:00:00 PM,10,Tuesday,198,37,57,8,300,heavy
0,T_Nagar,13.0418,80.2341,5:15:00 PM,10,Tuesday,140,49,28,11,228,heavy
0,T_Nagar,13.0418,80.2341,5:30:00 PM,10,Tuesday,188,36,27,11,262,heavy
0,T_Nagar,13.0418,80.2341,5:45:00 PM,10,Tuesday,188,26,57,10,281,heavy
0,T_Nagar,13.0418,80.2341,6:00:00 PM,10,Tuesday,175,41,31,7,254,heavy
0,T_Nagar,13.0418,80.2341,6:15:00 PM,10,Tuesday,166,12,40,11,229,heavy
0,T_Nagar,13.0418,80.2341,6:30:00 PM,10,Tuesday,134,17,24,13,188,heavy
0,T_Nagar,13.0418,80.2341,6:45:00 PM,10,Tuesday,109,29,29,15,182,heavy
